"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type","is_converted"
"","","","","","","","","","","
Step Description:
1. Check  Price & delivery section
Expected Result:
1. Next elements are presented:


- Your  price: sale price/list price
- Input field with button Add to cart
- chip Digital product


- Buttons: Add to list, Compare, Share, Email, Print


 ![](index.php?/attachments/get/1e815411-0b85-4363-b85b-4c1a7a40a786) 


","","1. Next elements are presented:


- Your  price: sale price/list price
- Input field with button Add to cart
- chip Digital product


- Buttons: Add to list, Compare, Share, Email, Print


 ![](index.php?/attachments/get/1e815411-0b85-4363-b85b-4c1a7a40a786) 


","","1. Check  Price & delivery section","",""
"","","","","","","","","","","
Step Description:
Uncollapse properties and description sections
Scroll the page to the end
Pay attention to the Price & delivery section
Expected Result:
Scrolling only the product block
The Price & delivery section is pinned on the right side","","Scrolling only the product block
The Price & delivery section is pinned on the right side","","Uncollapse properties and description sections
Scroll the page to the end
Pay attention to the Price & delivery section","",""
"C410676","Product without variations > update price","https://virtowayqa.testrail.io/index.php?/attachments/get/35570, https://virtowayqa.testrail.io/index.php?/attachments/get/35571","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
1. Open Category_1
2. Check the price of the Product_1
Expected Result:
1. There is a price_1 assigned to the Products ","","1. There is a price_1 assigned to the Products ","","1. Open Category_1
2. Check the price of the Product_1","Other","0"
"","","","","","","","","","","
Step Description:
1. Go to the Admin Environment > Catalog_1 > Product_1 > Price widget
2. Change the price_1 to a price_2 
7. Go to the Store
8. Open Category_1
9. Pay attention to the price for the Product_1
Expected Result:
1. There is a price_2 assigned to the Products 
","","1. There is a price_2 assigned to the Products 
","","1. Go to the Admin Environment > Catalog_1 > Product_1 > Price widget
2. Change the price_1 to a price_2 
7. Go to the Store
8. Open Category_1
9. Pay attention to the price for the Product_1","",""
"C410677","MOBILE > Product without variations > general view","","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
1. Open Product_1.
3. Check the page. 
Expected Result:
1. Product details page contains:

- Breadcrumbs 
- Product Title
- SKU #Number with a Copy button
- Product Image carousel with dots
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specification
- Price & delivery section

- Related products section


","","1. Product details page contains:

- Breadcrumbs 
- Product Title
- SKU #Number with a Copy button
- Product Image carousel with dots
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specification
- Price & delivery section

- Related products section


","","1. Open Product_1.
3. Check the page. ","Other","0"
"","","","","","","","","","","
Step Description:
1. Check Product_1 Photocarousel
Expected Result:
1. Photos presented in a gallery ","","1. Photos presented in a gallery ","","1. Check Product_1 Photocarousel","",""
"","","","","","","","","","","
Step Description:
Check  Price & delivery section
Expected Result:
The next elements are presented:

- Your  price: sale price/list price
- Input field with button Add to cart
- Chip N in stock

- Buttons: Add to list, Compare, Share, Email, Print","","The next elements are presented:

- Your  price: sale price/list price
- Input field with button Add to cart
- Chip N in stock

- Buttons: Add to list, Compare, Share, Email, Print","","Check  Price & delivery section","",""
"C410678","PDP > Image gallery","https://virtowayqa.testrail.io/index.php?/attachments/get/1000004367, https://virtowayqa.testrail.io/index.php?/attachments/get/1000002935","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
Open PDP of Product1
Check Carusel Pagination 
Expected Result:
There are 3 mini-images displayed under the main product image ","","There are 3 mini-images displayed under the main product image ","","Open PDP of Product1
Check Carusel Pagination ","Other","0"
"","","","","","","","","","","
Step Description:
Go to admin &gt; Catalog
Add one more image to Product1

Return to the storefront &gt; Product1 &gt; PDP

Check image gallery



Expected Result:
There are 4 mini-images are displayed

 

 ![](index.php?/attachments/get/a09e2ae8-001b-4de0-8b2d-9063b66a1f57)
","","There are 4 mini-images are displayed

 

 ![](index.php?/attachments/get/a09e2ae8-001b-4de0-8b2d-9063b66a1f57)
","","Go to admin &gt; Catalog
Add one more image to Product1

Return to the storefront &gt; Product1 &gt; PDP

Check image gallery


","",""
"","","","","","","","","","","
Step Description:
Try to click on the images
Forward 
Backward
Expected Result:
The main image is switching","","The main image is switching","","Try to click on the images
Forward 
Backward","",""
"","","","","","","","","","","
Step Description:
Open the Product detail page of product2

Try to click on the images
Forward 
Backward



Expected Result:
5 images are displayed in two rows

The navigation buttons are displayed
The main image is switching

 ![](index.php?/attachments/get/f672d4ba-a40b-4831-9b7d-40114bcbff12) 



","","5 images are displayed in two rows

The navigation buttons are displayed
The main image is switching

 ![](index.php?/attachments/get/f672d4ba-a40b-4831-9b7d-40114bcbff12) 



","","Open the Product detail page of product2

Try to click on the images
Forward 
Backward


","",""
"","","","","","","","","","","
Step Description:
Open the Product detail page of product3

Try to click on the images
Forward 
Backward



Expected Result:
images are gathered


The navigation buttons are displayed
The main image is switching
","","images are gathered


The navigation buttons are displayed
The main image is switching
","","Open the Product detail page of product3

Try to click on the images
Forward 
Backward


","",""
"C410679","PDP > Video > Check player","","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
Open PDP of Product1
Click on the video
Check the layout
Expected Result:
1. The video preview is displayed
2. The video is played in the mini-player.","","1. The video preview is displayed
2. The video is played in the mini-player.","","Open PDP of Product1
Click on the video
Check the layout","Other","0"
"","","","","","","","","","","
Step Description:
Try to move
Forward
Backward
Expected Result:
The video is scrolling forward and backward","","The video is scrolling forward and backward","","Try to move
Forward
Backward","",""
"","","","","","","","","","","
Step Description:
Go to the product page from admin &gt; Video
Edit the title of the video
Save

Return to store
Open PDP of Product1
Click on the video
Check the video title
Expected Result:
The title is updated","","The title is updated","","Go to the product page from admin &gt; Video
Edit the title of the video
Save

Return to store
Open PDP of Product1
Click on the video
Check the video title","",""
"C410680","PDP > Video > Add new video","","1. 4 preview thumbnails are displayed two in one row
2. The video is played in the mini-player.


 ![](index.php?/attachments/get/fdfeea4e-1582-4391-9990-1d5099bf84d7) 


","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","Open PDP of Product1
Click on the video
Check the layout","","","","","","Other","0"
"C410681","PDP > Video > Delete video","","The video is no longer displayed on the product page","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","Open PDP of Product1
Check the video

","","","","","","Other","0"
"C410682","PDP > Properties > See more/ See less","","","Medium","Product page (Desktop+Mobile)","0","","Product page (Desktop+Mobile)","","Step Description:
Go to Catalog
Find Product1
Open PDP
Check properties block
Expected Result:
The """"See more"""" button does not display","","The ""See more"" button does not display","","Go to Catalog
Find Product1
Open PDP
Check properties block","Other","0"
